language,group,key,value
en,table,id,Id
en,table,name,Name
en,table,email,Email
en,table,language_code,Code
en,table,language,Language
en,table,enabled,Enabled
en,table,created_at,Created
en,table,updated_at,Updated
en,table,group,Group
en,table,key,Key
en,table,value,Value
en,table,title,Title
en,table,text,Text
en,table,user,User
en,table,user_id,User
en,table,author,Author
en,button,login,Login
en,button,logout,Logout
en,button,delete,Delete
en,button,add,Create
en,button,cancel,Cancel
en,button,create,Create
en,button,edit,Edit
en,button,update,Update
en,button,view,View
en,button,import,Import
en,button,download,Download
en,button,export,Export
en,button,next,Next
en,button,previous,Previous
en,menu,articles,Articles
en,menu,languages,Languages
en,menu,translations,Translations
en,menu,users,Users
en,ability,view,View
en,ability,create,Create
en,ability,update,Update
en,ability,delete,Delete
